ProvinceString_FA,Province_FA,Province,ProvinceString,Latitude,Longitude,Population,Population_Rate,HDI,Health_Index,Age_up_to_17,Age_up_to_17_Rate,Age_18_to_29,Age_18_to_29_Rate,Age_30_to_44,Age_30_to_44_Rate,Age_45_to_59,Age_45_to_59_Rate,Age_60_Plus,Age_60_Plus_Rate,Urban,Urban_Rate,StudentNumber,Student_Rate,HealthCenters,HealthCenters_K,IranSalamat_Insured,IranSalamat_Insured_Rate,Tourists_Number,Tourists_Number_Rate,Meuseum_and_HistoriclPlaces,Meuseum_and_HistoriclPlaces_K,Morphine_and_Opium,Morphine_and_Opium_K,Cannabis,Cannabis_K,Doctor_and_Paramedic,Doctor_and_Paramedic_K,PatientBed,PatientBed_K,HealthDiagnosisLab,HealthDiagnosisLab_K,ICU_and_CCU,ICU_and_CCU_K,UnemploymentRate_98Spring,InflationRat_98Spring,FirstCase_Day,FirstCase_Day_FA,HighVolumeArea,Election98_Participation,Dead_IRanIntl_LastDay,Dead_IRanIntl_LastDay_100K,Dead_Change(to_Day_before),Diagnosed_LastDay,Diagnosed_LastDay_100K,Diagnosed_Change(to_Day_before),Median,Diagnosed_Change(to_Median),Average,Diagnosed_Change(to_Average),Dead_to_Diagnosed_Province,Diagnosed_LastDay_ArashEstimation,Diagnosed_LastDay_Daily,Diagnosed_Change(to_Day_before)_Daily,Median_Daily,Diagnosed_Change(to_Median)_Daily,Average_Daily,Diagnosed_Change(to_Average)_Daily,Diagnosed_LastDay_SlopeDaily,Diagnosed_Farvardin3,Test,Test_Done_Forcast,Test_Plus,Diagnosed_67_Plus
"""آذربایجان شرقی""",آذربایجان شرقی,Azarbaijan_East,"""Azarbaijan_East""",37.9035733,46.2682109,3909652,0.049,0.786,0.862,1049276,0.268,762535,0.195,1042873,0.267,635374,0.163,419594,0.107,2809424,0.72,186491,4.77,1505,0.385,2115827,54.12,4450000,1.14,502,0.128,1433,0.367,465,0.12,15885,4.06,8095,2.07,266,0.068,636,16.27,10.2,40.5,8,روز هشتم,0,0.43,648,16.6,0,4380,112,0.02,1231,2.56,1568,1.79,0.15,10268,85,0.34,75,0.13,76,0.12,0.34,813,0,26643,44308,7284
"""آذربایجان غربی""",آذربایجان غربی,Azarbaijan_West,"""Azarbaijan_West""",37.4550062,45,3265219,0.041,0.76,0.852,980844,0.3,713215,0.218,806914,0.247,484662,0.148,279584,0.086,2136203,0.65,116097,3.56,1157,0.354,2082441,63.78,1353342,0.41,146,0.045,2514,0.77,1901,0.58,12773,3.91,5189,1.59,174,0.053,394,12.07,10.7,37,8,روز هشتم,0,0.47,215,6.6,0,2407,73.7,0.02,606,2.97,825,1.92,0.09,3407,58,-0.18,34,0.71,44,0.33,-0.18,395,0,8196,24349,7151
"""اردبیل""",اردبیل,Ardabil,"""Ardabil""",38.2537363,48.2999901,1270420,0.016,0.763,0.817,352574,0.278,275675,0.217,329639,0.259,193485,0.152,119047,0.094,866034,0.68,59495,4.68,556,0.438,781450,61.51,8875419,6.99,221,0.174,873,0.687,210,0.17,5096,4.01,2824,2.22,50,0.039,142,11.18,9.1,35.2,7,روز هفتم,0,0.5,228,17.9,0,1183,93.1,0.02,365,2.24,461,1.57,0.19,3613,20,0.31,20,-0.01,21,-0.06,0.31,289,0,4029,11970,3515
"""اصفهان""",اصفهان,Isfahan,"""Isfahan""",32.6546275,51.6679826,5120850,0.064,0.83,0.869,1299467,0.254,1011933,0.198,1412256,0.276,852196,0.166,544998,0.106,4507309,0.88,281683,5.5,1665,0.325,1609933,31.44,787358,0.15,2549,0.498,26055,5.088,7525,1.47,19443,3.8,10086,1.97,454,0.089,749,14.63,10.7,33.1,5,روز پنجم,0,0.36,880,17.2,0,9109,177.9,0.01,2741,2.32,3904,1.33,0.1,13945,88,-0.11,124,-0.29,152,-0.42,-0.11,1979,0,24798,92148,33849
"""البرز """,البرز ,Alborz,"""Alborz""",36.075833,51.796111,2712400,0.034,0.834,0.868,679120,0.25,547075,0.202,800708,0.295,443722,0.164,241775,0.089,2512737,0.93,109189,4.03,687,0.253,523327,19.29,72485,0.03,41,0.015,3077,1.134,4985,1.84,4117,1.52,2609,0.96,165,0.061,364,13.42,14,33.5,6,روز ششم,0,0.28,627,23.1,0,4481,165.2,0.01,1529,1.93,1935,1.32,0.14,9935,45,0.15,74,-0.39,73,-0.38,0.15,1177,0,12198,45329,16651
"""ایلام""",ایلام,Ilam,"""Ilam""",33.6349736,46.415281,580158,0.007,0.814,0.882,156366,0.27,136027,0.234,157933,0.272,80472,0.139,49360,0.085,395263,0.68,35005,6.03,445,0.767,375065,64.65,2056557,3.54,21,0.036,240,0.414,285,0.49,3739,6.44,1104,1.9,61,0.105,74,12.76,9.3,44.2,10,روز دهم,0,0.59,67,11.5,0,480,82.7,0.04,267,0.8,239,1,0.14,1062,17,0.7,7,1.43,9,0.95,0.7,183,0,1634,4856,1426
"""بوشهر""",بوشهر,Bushehr,"""Bushehr""",28.9233837,50.820314,1163400,0.015,0.812,0.863,349616,0.301,265369,0.228,327706,0.282,141123,0.121,79586,0.068,835955,0.72,58688,5.04,354,0.304,486836,41.85,162805,0.14,126,0.108,2980,2.561,1342,1.15,4749,4.08,1759,1.51,76,0.065,112,9.63,9.2,41.6,15,روز پانزدهم,0,0.47,89,7.6,0,223,19.2,0.19,97,1.3,98,1.28,0.4,1410,36,35,4,8,6,5.46,35,55,807,807,2256,623
"""تهران""",تهران,Tehran,"""Tehran""",35.6891975,51.3889736,13267637,0.166,0.834,0.868,3165949,0.239,2634639,0.199,3798898,0.286,2282606,0.172,1385545,0.104,12452230,0.94,892842,6.73,2248,0.169,2873294,21.66,547766,0.04,3980,0.3,24467,1.844,8450,0.64,30397,2.29,35380,2.67,1969,0.148,3691,27.82,10.1,38.9,2,روز دوم,1,0.26,2128,16,0,25601,193,0.01,6015,3.26,10413,1.46,0.08,33720,294,9.64,290,0.01,388,-0.24,9.64,5098,0,113705,258981,58310
"""چهارمحال و بختیاری""",چهارمحال و بختیاری,Chaharmahal_and_Bakhtiari,"""Chaharmahal_and_Bakhtiari""",31.9970419,50.6613849,947763,0.012,0.795,0.877,286288,0.302,207115,0.219,241523,0.255,130463,0.138,82374,0.087,607444,0.64,41182,4.35,577,0.609,625834,66.03,921700,0.97,75,0.079,1411,1.489,318,0.34,5475,5.78,1509,1.59,126,0.133,92,9.71,16.7,44.5,14,روز چهاردهم,0,0.45,73,7.7,0,346,36.5,0.01,118,1.93,143,1.43,0.21,1157,3,-0.25,6,-0.5,7,-0.56,-0.25,68,1597,1876,3500,646
"""خراسان جنوبی""",خراسان جنوبی,Khorasan_South,"""Khorasan_South""",32.5175643,59.1041758,768898,0.01,0.758,0.848,254624,0.331,165548,0.215,173347,0.225,100354,0.131,75025,0.098,453827,0.59,44475,5.78,532,0.692,522271,67.92,6159,0.01,66,0.086,26283,34.183,3848,5,4080,5.31,1075,1.4,38,0.049,128,16.65,8.6,43.1,10,روز دهم,0,0.48,63,8.2,0,514,66.8,0.04,274,0.88,252,1.04,0.12,998,19,0.27,9,1.11,10,0.96,0.27,178,2331,2786,5200,959
"""خراسان رضوی""",خراسان رضوی,Khorasan_Razavi,"""Khorasan_Razavi""",35.1020253,59.1041758,6434501,0.081,0.78,0.857,2011092,0.313,1334331,0.207,1642946,0.255,900611,0.14,545521,0.085,4700924,0.73,254734,3.96,2538,0.394,3404750,52.91,6536055,1.02,818,0.127,22978,3.571,4578,0.71,23128,3.59,13488,2.1,442,0.069,822,12.77,9.4,36.2,6,روز ششم,0,0.48,1132,17.6,0,2861,44.5,0.01,1311,1.18,1279,1.24,0.4,17938,33,0.29,46,-0.28,50,-0.34,0.29,858,0,17402,28940,4758
